;main;(;);{;};reg;var;def;id;";";,;[;];$;+;-;Const real;Const cadena;Binario;Const Decimal;Const Octal;Const hexadecimal;true;false;Const Exponencial;null;Console.read;Console.log;if;++;--;!;~;CLEAR;SQRT;POW;SQRTV;STRLEN;concat;copy;val;str;sin;cos;tan;chr;pred;succ;inc;dec;sqr;while;do;return;for;switch;elseif;else;:;break;case;default;||;|;?;&&;&;<;>=;<=;!=;==;>;<<;>>;>>>;*;/;#;%;^;=;+=;-=;/=;*=;Const ent
PROGRAMA;1;514;514;514;514;1;1;1;1;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514;514
A1;13;515;515;515;515;3;5;10;11;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515;515
A2;516;516;516;516;13;516;516;516;516;2;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516
A3;517;517;13;517;13;517;517;517;517;517;4;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517
A4;518;518;518;518;518;6;518;518;13;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518
A5;517;517;517;517;517;517;517;517;517;517;7;517;13;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517
A6;519;519;519;519;519;519;519;519;519;13;13;8;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519
A7;517;517;517;517;517;517;517;517;517;13;9;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517
A8;517;517;517;517;517;517;517;517;517;13;12;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517;517
LISTA DE PARAMETROS;520;14;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520;520
